14:44:49 0, 435 MiB 1, 0 MiB 
14:44:59 0, 435 MiB 1, 0 MiB 
14:45:09 0, 435 MiB 1, 0 MiB 
14:45:19 0, 435 MiB 1, 0 MiB 
14:45:29 0, 435 MiB 1, 0 MiB 
14:45:40 0, 7709 MiB 1, 0 MiB 
14:45:50 0, 7709 MiB 1, 0 MiB 
14:46:00 0, 7883 MiB 1, 0 MiB 
14:46:10 0, 7933 MiB 1, 0 MiB 
14:46:20 0, 7943 MiB 1, 0 MiB 
14:46:30 0, 7943 MiB 1, 0 MiB 
14:46:40 0, 4 MiB 1, 0 MiB 
14:46:51 0, 4 MiB 1, 0 MiB 
14:47:01 0, 435 MiB 1, 0 MiB 
14:47:11 0, 435 MiB 1, 0 MiB 
14:47:21 0, 435 MiB 1, 0 MiB 
14:47:31 0, 435 MiB 1, 0 MiB 
14:47:41 0, 435 MiB 1, 0 MiB 
14:47:51 0, 435 MiB 1, 0 MiB 
14:48:01 0, 435 MiB 1, 0 MiB 
14:48:12 0, 435 MiB 1, 0 MiB 
14:48:22 0, 435 MiB 1, 0 MiB 
14:48:32 0, 7709 MiB 1, 0 MiB 
14:48:42 0, 7709 MiB 1, 0 MiB 
14:48:52 0, 7883 MiB 1, 0 MiB 
14:49:02 0, 7905 MiB 1, 0 MiB 
14:49:12 0, 7943 MiB 1, 0 MiB 
14:49:23 0, 7943 MiB 1, 0 MiB 
14:49:33 0, 0 MiB 1, 0 MiB 
14:49:43 0, 4 MiB 1, 0 MiB 
14:49:53 0, 4 MiB 1, 0 MiB 
14:50:03 0, 435 MiB 1, 0 MiB 
14:50:13 0, 435 MiB 1, 0 MiB 
14:50:23 0, 435 MiB 1, 0 MiB 
14:50:34 0, 435 MiB 1, 0 MiB 
14:50:44 0, 435 MiB 1, 0 MiB 
14:50:54 0, 435 MiB 1, 0 MiB 
14:51:04 0, 435 MiB 1, 0 MiB 
14:51:14 0, 435 MiB 1, 0 MiB 
14:51:24 0, 435 MiB 1, 0 MiB 
14:51:34 0, 7709 MiB 1, 0 MiB 
14:51:45 0, 7709 MiB 1, 0 MiB 
14:51:55 0, 7883 MiB 1, 0 MiB 
14:52:05 0, 7919 MiB 1, 0 MiB 
14:52:15 0, 7943 MiB 1, 0 MiB 
14:52:25 0, 7943 MiB 1, 0 MiB 
14:52:35 0, 7943 MiB 1, 0 MiB 
14:52:45 0, 7943 MiB 1, 0 MiB 
14:52:55 0, 0 MiB 1, 0 MiB 
14:53:06 0, 0 MiB 1, 0 MiB 
14:53:16 0, 0 MiB 1, 0 MiB 
