Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.2,13136751,960,13684.1,13696.0,13024,14432,203.9,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_26
0.2,11281637,2160,5223.0,5216.0,4928,5728,99.0,triton_poi_fused_add_cat_mul_16
0.2,9505966,960,9902.0,9888.0,9536,10560,141.9,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_25
0.2,9225761,1080,8542.4,8512.0,8192,9248,147.1,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_23
0.2,9065359,1200,7554.5,7552.0,7168,8128,180.3,triton_tem_fused_add_addmm_mul_28
0.1,7474858,1200,6229.0,6240.0,5248,7200,359.3,triton_per_fused_addmm_8
0.1,6731489,1200,5609.6,5568.0,4896,6688,301.4,triton_per_fused_addmm_7
0.1,6610119,1200,5508.4,5472.0,4992,6272,211.5,triton_poi_fused__to_copy_cat_4
0.1,5080599,720,7056.4,7040.0,6176,8896,725.3,"void cudnn::engines_precompiled::convertTensor_kernel<float, float, float, (cudnnKernelDataType_t)2>(T3, const T1 *, T3, T2 *, unsigned long)"
0.1,4623049,360,12841.8,12576.0,12320,14240,480.2,ampere_bf16_s16816gemm_bf16_128x64_ldg8_relu_f2f_stages_64x4_tn
0.1,3656291,1200,3046.9,3072.0,2624,3520,177.8,triton_tem_fused_addmm_9
0.1,3286946,1200,2739.1,2720.0,2528,3104,94.7,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_11
0.1,3272320,1200,2726.9,2720.0,2464,3008,98.5,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_22
0.1,3208605,1200,2673.8,2656.0,2464,3008,92.8,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_27
0.0,2904197,1200,2420.2,2400.0,2240,2720,90.2,triton_per_fused_sum_0
0.0,2892696,1200,2410.6,2432.0,1888,2880,198.6,triton_tem_fused__to_copy_bmm_6
0.0,2278431,360,6329.0,6048.0,5664,7456,552.0,triton_poi_fused_convolution_0
0.0,2217725,1200,1848.1,1824.0,1728,2304,84.7,triton_per_fused_cumsum_1
0.0,2198234,1200,1831.9,1824.0,1344,2336,132.8,triton_poi_fused__to_copy_2
0.0,2147308,360,5964.7,5952.0,5792,6400,86.3,triton_red_fused__to_copy_add_embedding_native_layer_norm_5
0.0,2140834,360,5946.8,5888.0,5632,6848,209.3,triton_red_fused__to_copy_add_embedding_native_layer_norm_1
0.0,2047168,1200,1706.0,1664.0,1440,2560,182.9,triton_poi_fused_add_div_ge_neg_5
0.0,1972563,1200,1643.8,1631.0,1472,2176,128.3,triton_poi_fused__to_copy_3
0.0,1692868,120,14107.2,14080.0,13857,15008,138.9,triton_red_fused__to_copy_add_cat_mean_mul_pow_rsqrt_11
